Date        Time    Filter      Dataset	 Size(GB)  Compression  Chunking   Platform    Machine      Nodes   Load_Time(s)    Run_Time(s)    Output
11/03/15    7:14    Summary.py  NCEP3    122       None         None	   OSDC        m3.xlarge        1    3600.0           708.0        s3://hdftest/ncep_summary_out_m3.xlarge.txt	
11/16/15    6:59    Summary.py  NCEP3    122       None         None       OSDC        m1.small        50     420.0             7.0        s3://hdftest/ncep_summary_out_m1_c50.txt	
11/20/15    5:29    Summary.py  NCEP3    122       None         None       OSDC        m1.small       100     303.0             3.0        s3://hdftest/ncep_summary_out_m1_c100.txt	
11/23/15    4:18    Series.py   NCEP3    122       None         None       OSDC        m1.small       100     310.0            68.0        s3://hdftest/ncep_series_out_m1_c100.txt	
11/21/15    5:49    Summary.py  NCEP3     48       gzip_9       22x46      OSDC        m1.small       100     140.0             8.0        s3://hdftest/ncep_22_46_gzip_9_summary_out_m1_c100.txt	
11/21/15    5:59    Series.py   NCEP3     48       gzip_9       22x46      OSDC        m1.small       100     140.0            65.0        s3://hdftest/ncep_22_46_gzip_9_series_out_m1_c100.txt	
11/23/15    3:49    Summary.py  NCEP3     47       blosc        22x46      OSDC        m1.small       100     150.0           184.0        s3://hdftest/ncep3_chunk_45_180_blosc_2_2_4_summary_out_m1_c100.tx	
11/23/15    3:59    Series.py   NCEP3     47       blosc        22x46      OSDC        m1.small       100     150.0            68.0        s3://hdftest/ncep3_chunk_45_180_blosc_2_2_4_summary_out_m1_c100.tx	
11/23/15    4:29    Summary.py  NCEP3     50       gzip_9       45x180     OSDC        m1.small       100     142.0             5.5        s3://hdftest/ncep_chunk_45_180_gzip_9_summary_out_m1_c100.txt	
11/23/15    4:35    Series.py   NCEP3     50       gzip_9       45x180     OSDC        m1.small       100     142.0             6.5        s3://hdftest/ncep_chunk_45_180_gzip_9_series_out_m1_c100.txt	
11/23/15    4:44    Summary.py  NCEP3     17       mafisc       45x180     OSDC        m1.small       100     100.0            16.1        s3://hdftest/ncep_chunk_45_180_mafisc_summary_out_m1_c100.txt	
11/23/15    4:51    Series.py   NCEP3     17       mafisc       45x180     OSDC        m1.small       100     100.0             6.9        s3://hdftest/ncep_chunk_45_180_mafisc_series_out_m1_c100.txt	
11/23/15    6:35    Summary.py  NCEP3     50       gzip_9       22x46      OSDC        m1.small        25     317.0            24.3        s3://hdftest/ncep_22_46_gzip_9_summary_out_m1_c25.txt	
11/23/15    5:59    Series.py   NCEP3     50       gzip_9       22x46      OSDC        m1.small        25     317.0             6.8        s3://hdftest/ncep_22_46_gzip_9_series_out_m1_c25.txt		
11/23/15    4:07    Summary.py  NCEP3     47       blosc        22x46      OSDC        m1.small        25     333.0            14.2        s3://hdftest/ncep3_chunk_45_180_blosc_2_2_4_summary_out_m1_c25.txt	
11/23/15    3:59    Series.py   NCEP3     47       blosc        22x46      OSDC        m1.small        25     333.0             1.4        s3://hdftest/ncep3_chunk_45_180_blosc_2_2_4_summary_out_m1_c25.txt
12/03/15    12:09   Summary.py  NCEP3     46       gzip         25x20x20   OSDC        he.xxlarge       1     n/a            4131.0        s3://hdftest/ncep3_concat_chunk_25_20_20_gzip_9_summary_out_hexx_c1.txt
12/03/15    12:20   Summary.py  NCEP3     47       gzip         1x72x144   OSDC        he.xxlarge       1     n/a             317.6        s3://hdftest/ncep3_concat_chunk_1_72_144_gzip_9_summary_out_hexx_c1.txt
12/03/15    12:30   Summary.py  NCEP3     49       gzip         7850x1x1   OSDC        he.xxlarge       1     n/a         1337051.5        s3://hdftest/ncep3_concat_chunk_7850_1_1_gzip_9_summary_out_hexx_c1.txt
12/07/15    13:10   Series.py   NCEP3     47       gzip         1x72x144   OSDC        he.xxlarge       1     n/a               6.3        s3://hdftest/ncep3_concat_chunk_1_72_144_gzip_9_series_out_hexx_c1.txt
12/07/15    13:12   Series.py   NCEP3     46       gzip         25x20x20   OSDC        he.xxlarge       1     n/a               7.4        s3://hdftest/ncep3_concat_chunk_25_20_20_gzip_9_series_out_hexx_c1.txt
12/07/15    13:35   Series.py   NCEP3     49       gzip         7850x1x1   OSDC        he.xxlarge       1     n/a               1.4        s3://hdftest/ncep3_concat_chunk_7850_1_1_gzip_9_series_out_hexx_c1.txt
12/10/15    22:50   Summary.py  NCEP3    122       None         None       OSDC        m1.small        64     519.0            10.8        s3://hdftest/ncep_summary_out_m1_c64.txt	
12/10/15    23:04   Series.py   NCEP3    122       None         None       OSDC        m1.small        64     519.0             1.8        s3://hdftest/ncep_series_out_m1_c64.txt	
